job_id,job_title,company,location,experience_required,employment_type,salary_min,salary_max,skills,education,industry,posted_date,remote,job_description
JOB0026,Frontend Developer,Wipro,Mumbai,1-3 years,Full-time,520000,850000,HTML;CSS;JavaScript;React,BCA,E-Commerce,28-01-2026,Yes,Create responsive frontend applications.
JOB0027,Backend Developer,Cognizant,Pune,1-3 years,Full-time,600000,950000,Node.js;Python;APIs;SQL,B.Tech,IT Services,29-01-2026,No,Develop backend APIs and database integrations.
JOB0028,Full Stack Developer,HCLTech,Hyderabad,3-5 years,Full-time,850000,1400000,React;Node.js;MongoDB;JavaScript,B.E.,IT Services,30-01-2026,Hybrid,Develop complete web applications.
JOB0029,Machine Learning Engineer,Microsoft,Bangalore,5-8 years,Full-time,1500000,2300000,Python;TensorFlow;ML;Docker,M.Tech,IT Services,31-01-2026,Yes,Build scalable machine learning systems.
JOB0030,Cloud Engineer,Oracle,Hyderabad,3-5 years,Full-time,950000,1600000,AWS;Azure;Docker;Kubernetes,B.Tech,IT Services,01-02-2026,Hybrid,Design and manage cloud infrastructure.
JOB0031,DevOps Engineer,IBM,Pune,3-5 years,Full-time,950000,1550000,Linux;Docker;Kubernetes;Jenkins,B.Tech,IT Services,02-02-2026,Yes,Improve CI/CD and infrastructure automation.
JOB0032,Business Analyst,Deloitte,Mumbai,1-3 years,Full-time,600000,950000,Excel;SQL;Power BI;Business Analysis,MBA,Consulting,03-02-2026,Hybrid,Translate business needs into analytical solutions.
JOB0033,Product Manager,Amazon,Bangalore,5-8 years,Full-time,1500000,2400000,Product Strategy;Agile;Analytics,MBA,E-Commerce,04-02-2026,Yes,Drive product roadmap and business outcomes.
JOB0034,Project Manager,TCS,Chennai,5-8 years,Full-time,1300000,2000000,Agile;Scrum;Jira;Leadership,MBA,IT Services,05-02-2026,No,Manage project delivery and stakeholder communication.
JOB0035,UI UX Designer,Flipkart,Bangalore,1-3 years,Full-time,550000,900000,Figma;UI Design;UX Research,B.Des,E-Commerce,06-02-2026,Hybrid,Design user-friendly digital experiences.
JOB0036,Cyber Security Analyst,Infosys,Hyderabad,3-5 years,Full-time,750000,1200000,Cybersecurity;SIEM;Networking;Linux,B.Tech,IT Services,07-02-2026,Yes,Monitor networks and respond to security incidents.
JOB0037,Database Administrator,Oracle,Pune,5-8 years,Full-time,1000000,1700000,SQL;MySQL;Oracle;Database,B.Tech,Banking,08-02-2026,No,Administer enterprise database systems.
JOB0038,QA Engineer,Capgemini,Mumbai,1-3 years,Full-time,500000,800000,Selenium;Testing;Java;Automation,B.E.,IT Services,09-02-2026,Hybrid,Create automated tests and identify software defects.
JOB0039,AI Engineer,Google,Bangalore,3-5 years,Full-time,1200000,2000000,Python;AI;Deep Learning;NLP,M.Tech,IT Services,10-02-2026,Yes,Build AI-powered applications.
JOB0040,Marketing Analyst,Reliance Industries,Mumbai,1-3 years,Full-time,550000,850000,Excel;Google Analytics;SQL;Marketing,MBA,Retail,11-02-2026,No,Analyze marketing performance and customer trends.
JOB0041,Data Analyst,Accenture,Delhi,0-1 years,Internship,300000,450000,Python;SQL;Excel;Power BI,BCA,FinTech,12-02-2026,Yes,Support data analysis and dashboard development.
JOB0042,Software Engineer,Microsoft,Hyderabad,3-5 years,Full-time,900000,1500000,Java;Python;Git;APIs,B.Tech,IT Services,13-02-2026,Hybrid,Develop scalable software products.
JOB0043,Python Developer,Infosys,Pune,1-3 years,Full-time,520000,850000,Python;Django;Flask;SQL,MCA,Healthcare,14-02-2026,No,Develop backend systems using Python.
JOB0044,Data Scientist,Deloitte,Mumbai,5-8 years,Full-time,1300000,2100000,Python;Machine Learning;SQL;Pandas,M.Tech,Consulting,15-02-2026,Yes,Develop advanced analytics and predictive models.
JOB0045,Java Developer,HCLTech,Noida,1-3 years,Full-time,550000,900000,Java;Spring Boot;SQL;REST API,B.Tech,Telecommunications,16-02-2026,Hybrid,Build enterprise applications using Java.
JOB0046,Frontend Developer,Flipkart,Bangalore,1-3 years,Full-time,600000,950000,HTML;CSS;JavaScript;React,B.E.,E-Commerce,17-02-2026,Yes,Develop modern web interfaces.
JOB0047,Backend Developer,IBM,Pune,3-5 years,Contract,800000,1300000,Node.js;Python;APIs;SQL,B.Tech,IT Services,18-02-2026,No,Develop scalable backend systems.
JOB0048,Full Stack Developer,Amazon,Hyderabad,5-8 years,Full-time,1300000,2100000,React;Node.js;MongoDB;JavaScript,B.Tech,E-Commerce,19-02-2026,Hybrid,Design and develop full-stack applications.
JOB0049,Machine Learning Engineer,Google,Bangalore,3-5 years,Full-time,1100000,1850000,Python;TensorFlow;ML;Docker,M.Tech,IT Services,20-02-2026,Yes,Train and deploy machine learning models.
JOB0050,Cloud Engineer,Microsoft,Pune,1-3 years,Full-time,750000,1200000,AWS;Azure;Docker;Kubernetes,B.Tech,IT Services,21-02-2026,Hybrid,Support cloud infrastructure and automation.
JOB0051,DevOps Engineer,TCS,Mumbai,5-8 years,Full-time,1250000,1950000,Linux;Docker;Kubernetes;Jenkins,B.Tech,IT Services,22-02-2026,Yes,Manage deployment pipelines and infrastructure.
JOB0052,Business Analyst,Infosys,Bangalore,3-5 years,Full-time,700000,1100000,Excel;SQL;Power BI;Business Analysis,MBA,Banking,23-02-2026,Hybrid,Analyze processes and recommend improvements.
JOB0053,Product Manager,Flipkart,Bangalore,3-5 years,Full-time,1200000,1900000,Product Strategy;Agile;Analytics,MBA,E-Commerce,24-02-2026,Yes,Define product requirements and roadmap.
JOB0054,Project Manager,Accenture,Pune,5-8 years,Full-time,1350000,2050000,Agile;Scrum;Jira;Leadership,MBA,Consulting,25-02-2026,No,Lead cross-functional technology projects.
JOB0055,UI UX Designer,Microsoft,Hyderabad,1-3 years,Full-time,650000,1000000,Figma;UI Design;UX Research,B.Des,IT Services,26-02-2026,Hybrid,Design interfaces based on user research.
JOB0056,Cyber Security Analyst,IBM,Bangalore,3-5 years,Full-time,800000,1250000,Cybersecurity;SIEM;Networking;Linux,B.Tech,IT Services,27-02-2026,Yes,Analyze security events and protect systems.
JOB0057,Database Administrator,Oracle,Chennai,3-5 years,Full-time,850000,1350000,SQL;MySQL;Oracle;Database,B.Tech,Banking,28-02-2026,No,Maintain database availability and performance.
JOB0058,QA Engineer,Wipro,Pune,0-1 years,Full-time,400000,600000,Selenium;Testing;Java;Automation,B.E.,IT Services,01-03-2026,Hybrid,Test applications and automate regression testing.
JOB0059,AI Engineer,Google,Bangalore,5-8 years,Full-time,1600000,2500000,Python;AI;Deep Learning;NLP,M.Tech,IT Services,02-03-2026,Yes,Research and develop artificial intelligence solutions.
JOB0060,Marketing Analyst,Amazon,Mumbai,1-3 years,Full-time,600000,900000,Excel;Google Analytics;SQL;Marketing,MBA,E-Commerce,03-03-2026,Hybrid,Analyze customer and campaign data.
JOB0061,Data Analyst,TCS,Pune,1-3 years,Full-time,500000,820000,Python;SQL;Excel;Power BI,B.Sc,Healthcare,04-03-2026,No,Prepare reports and business intelligence dashboards.
JOB0062,Software Engineer,Capgemini,Bangalore,3-5 years,Full-time,750000,1200000,Java;Python;Git;APIs,B.Tech,IT Services,05-03-2026,Yes,Develop and test enterprise software.
JOB0063,Python Developer,Tech Mahindra,Hyderabad,1-3 years,Full-time,550000,880000,Python;Django;Flask;SQL,MCA,FinTech,06-03-2026,Hybrid,Develop Python services and database applications.
JOB0064,Data Scientist,IBM,Pune,3-5 years,Full-time,900000,1450000,Python;Machine Learning;SQL;Pandas,M.Tech,Healthcare,07-03-2026,Yes,Analyze complex datasets and develop models.
JOB0065,Java Developer,Cognizant,Chennai,3-5 years,Full-time,700000,1200000,Java;Spring Boot;SQL;REST API,B.Tech,IT Services,08-03-2026,No,Develop reliable Java applications.
JOB0066,Frontend Developer,Infosys,Mumbai,1-3 years,Full-time,520000,850000,HTML;CSS;JavaScript;React,BCA,E-Commerce,09-03-2026,Hybrid,Build responsive frontend components.
JOB0067,Backend Developer,Accenture,Bangalore,3-5 years,Full-time,800000,1300000,Node.js;Python;APIs;SQL,B.Tech,FinTech,10-03-2026,Yes,Develop APIs and backend services.
JOB0068,Full Stack Developer,Persistent Systems,Pune,3-5 years,Full-time,850000,1350000,React;Node.js;MongoDB;JavaScript,B.E.,IT Services,11-03-2026,Hybrid,Develop and maintain full-stack products.
JOB0069,Machine Learning Engineer,Microsoft,Hyderabad,5-8 years,Full-time,1400000,2250000,Python;TensorFlow;ML;Docker,M.Tech,IT Services,12-03-2026,Yes,Build production machine learning pipelines.
JOB0070,Cloud Engineer,Amazon,Bangalore,3-5 years,Full-time,1000000,1650000,AWS;Azure;Docker;Kubernetes,B.Tech,E-Commerce,13-03-2026,Hybrid,Build and manage cloud solutions.
JOB0071,DevOps Engineer,Google,Bangalore,5-8 years,Full-time,1500000,2400000,Linux;Docker;Kubernetes;Jenkins,B.Tech,IT Services,14-03-2026,Yes,Automate infrastructure and deployment workflows.
JOB0072,Business Analyst,Deloitte,Mumbai,1-3 years,Full-time,580000,920000,Excel;SQL;Power BI;Business Analysis,MBA,Consulting,15-03-2026,Hybrid,Analyze business processes and requirements.
JOB0073,Product Manager,Amazon,Delhi,5-8 years,Full-time,1450000,2300000,Product Strategy;Agile;Analytics,MBA,E-Commerce,16-03-2026,Yes,Lead product planning and execution.
JOB0074,Project Manager,TCS,Pune,3-5 years,Full-time,1000000,1650000,Agile;Scrum;Jira;Leadership,MBA,IT Services,17-03-2026,No,Coordinate project delivery and stakeholders.
JOB0075,UI UX Designer,Flipkart,Bangalore,1-3 years,Full-time,550000,900000,Figma;UI Design;UX Research,B.Des,E-Commerce,18-03-2026,Hybrid,Create user-centered interface designs.
JOB0076,Cyber Security Analyst,HCLTech,Noida,1-3 years,Full-time,650000,1000000,Cybersecurity;SIEM;Networking;Linux,B.Tech,IT Services,19-03-2026,Yes,Monitor security threats and incidents.
JOB0077,Database Administrator,Oracle,Hyderabad,5-8 years,Full-time,1100000,1750000,SQL;MySQL;Oracle;Database,B.Tech,Banking,20-03-2026,No,Manage database systems and performance.
JOB0078,QA Engineer,Cognizant,Chennai,1-3 years,Full-time,500000,820000,Selenium;Testing;Java;Automation,B.E.,IT Services,21-03-2026,Hybrid,Execute automated and manual testing.
JOB0079,AI Engineer,Microsoft,Bangalore,3-5 years,Full-time,1150000,1950000,Python;AI;Deep Learning;NLP,M.Tech,IT Services,22-03-2026,Yes,Develop intelligent software solutions.
JOB0080,Marketing Analyst,Reliance Industries,Mumbai,3-5 years,Full-time,700000,1100000,Excel;Google Analytics;SQL;Marketing,MBA,Retail,23-03-2026,No,Analyze marketing metrics and customer segments.
JOB0081,Data Analyst,Infosys,Bangalore,0-1 years,Full-time,350000,550000,Python;SQL;Excel;Power BI,B.Tech,IT Services,24-03-2026,Hybrid,Analyze operational data and prepare dashboards.
JOB0082,Software Engineer,Wipro,Hyderabad,1-3 years,Full-time,520000,850000,Java;Python;Git;APIs,B.E.,IT Services,25-03-2026,Yes,Develop applications and integrate APIs.
JOB0083,Python Developer,TCS,Pune,3-5 years,Full-time,750000,1200000,Python;Django;Flask;SQL,MCA,FinTech,26-03-2026,Hybrid,Create scalable Python backend systems.
JOB0084,Data Scientist,Accenture,Bangalore,5-8 years,Full-time,1300000,2150000,Python;Machine Learning;SQL;Pandas,M.Tech,Consulting,27-03-2026,Yes,Build advanced predictive analytics solutions.
JOB0085,Java Developer,Infosys,Mumbai,1-3 years,Full-time,500000,820000,Java;Spring Boot;SQL;REST API,B.Tech,Banking,28-03-2026,No,Develop Java services for enterprise systems.
JOB0086,Frontend Developer,Amazon,Bangalore,3-5 years,Full-time,800000,1250000,HTML;CSS;JavaScript;React,B.E.,E-Commerce,29-03-2026,Hybrid,Build high-performance web interfaces.
JOB0087,Backend Developer,Microsoft,Hyderabad,5-8 years,Full-time,1200000,1900000,Node.js;Python;APIs;SQL,B.Tech,IT Services,30-03-2026,Yes,Design scalable backend architecture.
JOB0088,Full Stack Developer,Accenture,Pune,1-3 years,Full-time,650000,1050000,React;Node.js;MongoDB;JavaScript,B.Tech,Consulting,31-03-2026,Hybrid,Develop frontend and backend features.
JOB0089,Machine Learning Engineer,IBM,Bangalore,3-5 years,Full-time,1050000,1700000,Python;TensorFlow;ML;Docker,M.Tech,Healthcare,01-04-2026,Yes,Develop and deploy ML models.
JOB0090,Cloud Engineer,Google,Hyderabad,5-8 years,Full-time,1400000,2200000,AWS;Azure;Docker;Kubernetes,B.Tech,IT Services,02-04-2026,Hybrid,Architect cloud infrastructure and services.
JOB0091,DevOps Engineer,Amazon,Bangalore,3-5 years,Full-time,1000000,1600000,Linux;Docker;Kubernetes;Jenkins,B.Tech,E-Commerce,03-04-2026,Yes,Build reliable CI/CD pipelines.
JOB0092,Business Analyst,Capgemini,Mumbai,1-3 years,Full-time,550000,900000,Excel;SQL;Power BI;Business Analysis,MBA,Consulting,04-04-2026,Hybrid,Gather requirements and analyze business data.
JOB0093,Product Manager,Microsoft,Hyderabad,5-8 years,Full-time,1500000,2350000,Product Strategy;Agile;Analytics,MBA,IT Services,05-04-2026,Yes,Manage product roadmap and stakeholder priorities.
JOB0094,Project Manager,Infosys,Pune,5-8 years,Full-time,1250000,1950000,Agile;Scrum;Jira;Leadership,MBA,IT Services,06-04-2026,No,"Manage timelines, resources and project delivery."
JOB0095,UI UX Designer,Google,Bangalore,3-5 years,Full-time,800000,1250000,Figma;UI Design;UX Research,B.Des,IT Services,07-04-2026,Hybrid,Design digital products using user research.
JOB0096,Cyber Security Analyst,IBM,Mumbai,3-5 years,Full-time,750000,1200000,Cybersecurity;SIEM;Networking;Linux,B.Tech,Banking,08-04-2026,Yes,Investigate security alerts and vulnerabilities.
JOB0097,Database Administrator,Oracle,Chennai,1-3 years,Full-time,600000,950000,SQL;MySQL;Oracle;Database,B.Tech,Banking,09-04-2026,No,Support database administration and maintenance.
JOB0098,QA Engineer,TCS,Pune,3-5 years,Full-time,650000,1050000,Selenium;Testing;Java;Automation,B.E.,IT Services,10-04-2026,Hybrid,Develop automation frameworks and test software.
JOB0099,AI Engineer,Google,Bangalore,5-8 years,Full-time,1550000,2450000,Python;AI;Deep Learning;NLP,M.Tech,IT Services,11-04-2026,Yes,Develop advanced AI and deep learning solutions.
JOB0100,Marketing Analyst,Flipkart,Mumbai,1-3 years,Full-time,550000,900000,Excel;Google Analytics;SQL;Marketing,MBA,E-Commerce,12-04-2026,Hybrid,Analyze marketing performance and customer behavior.
JOB0101,Data Analyst,Capgemini,Pune,1-3 years,Full-time,480000,780000,Python;SQL;Excel;Power BI,B.Sc,IT Services,13-04-2026,Yes,Analyze datasets and create business dashboards.
JOB0102,Software Engineer,TCS,Bangalore,3-5 years,Full-time,750000,1250000,Java;Python;Git;APIs,B.Tech,IT Services,14-04-2026,Hybrid,Develop scalable enterprise software.
JOB0103,Python Developer,Infosys,Hyderabad,1-3 years,Full-time,500000,820000,Python;Django;Flask;SQL,MCA,FinTech,15-04-2026,Yes,Build Python applications and REST APIs.
JOB0104,Data Scientist,Microsoft,Bangalore,3-5 years,Full-time,1000000,1650000,Python;Machine Learning;SQL;Pandas,M.Tech,IT Services,16-04-2026,Hybrid,Develop machine learning models and analytics.
JOB0105,Java Developer,Wipro,Chennai,1-3 years,Full-time,520000,850000,Java;Spring Boot;SQL;REST API,B.E.,IT Services,17-04-2026,No,Develop enterprise Java applications.
JOB0106,Frontend Developer,Accenture,Mumbai,1-3 years,Full-time,550000,900000,HTML;CSS;JavaScript;React,BCA,E-Commerce,18-04-2026,Hybrid,Develop responsive web interfaces.
JOB0107,Backend Developer,IBM,Pune,3-5 years,Full-time,780000,1280000,Node.js;Python;APIs;SQL,B.Tech,IT Services,19-04-2026,Yes,Develop scalable backend services.
JOB0108,Full Stack Developer,Amazon,Bangalore,3-5 years,Full-time,850000,1400000,React;Node.js;MongoDB;JavaScript,B.Tech,E-Commerce,20-04-2026,Hybrid,Build complete web applications.
JOB0109,Machine Learning Engineer,Google,Hyderabad,5-8 years,Full-time,1450000,2250000,Python;TensorFlow;ML;Docker,M.Tech,IT Services,21-04-2026,Yes,Develop and deploy machine learning systems.
JOB0110,Cloud Engineer,Oracle,Pune,3-5 years,Full-time,950000,1550000,AWS;Azure;Docker;Kubernetes,B.Tech,IT Services,22-04-2026,Hybrid,Manage cloud infrastructure and services.
JOB0111,DevOps Engineer,HCLTech,Bangalore,3-5 years,Full-time,950000,1550000,Linux;Docker;Kubernetes;Jenkins,B.Tech,IT Services,23-04-2026,Yes,Automate deployment and infrastructure processes.
JOB0112,Business Analyst,Deloitte,Mumbai,1-3 years,Full-time,580000,920000,Excel;SQL;Power BI;Business Analysis,MBA,Consulting,24-04-2026,Hybrid,Analyze business requirements and processes.
JOB0113,Product Manager,Amazon,Bangalore,5-8 years,Full-time,1450000,2300000,Product Strategy;Agile;Analytics,MBA,E-Commerce,25-04-2026,Yes,Manage product strategy and roadmap.
JOB0114,Project Manager,TCS,Pune,5-8 years,Full-time,1250000,1950000,Agile;Scrum;Jira;Leadership,MBA,IT Services,26-04-2026,No,Lead project teams and delivery.
JOB0115,UI UX Designer,Infosys,Hyderabad,1-3 years,Full-time,550000,900000,Figma;UI Design;UX Research,B.Des,IT Services,27-04-2026,Hybrid,Design user-friendly digital interfaces.
JOB0116,Cyber Security Analyst,Tech Mahindra,Bangalore,3-5 years,Full-time,750000,1200000,Cybersecurity;SIEM;Networking;Linux,B.Tech,IT Services,28-04-2026,Yes,Monitor security systems and investigate threats.
JOB0117,Database Administrator,Oracle,Chennai,5-8 years,Full-time,1050000,1750000,SQL;MySQL;Oracle;Database,B.Tech,Banking,29-04-2026,No,Maintain enterprise database systems.
JOB0118,QA Engineer,Cognizant,Pune,1-3 years,Full-time,480000,780000,Selenium;Testing;Java;Automation,B.E.,IT Services,30-04-2026,Hybrid,Perform automated software testing.
JOB0119,AI Engineer,Microsoft,Bangalore,3-5 years,Full-time,1150000,1950000,Python;AI;Deep Learning;NLP,M.Tech,IT Services,01-05-2026,Yes,Build AI-powered applications.
JOB0120,Marketing Analyst,Flipkart,Mumbai,1-3 years,Full-time,550000,880000,Excel;Google Analytics;SQL;Marketing,MBA,E-Commerce,02-05-2026,Hybrid,Analyze marketing campaigns and customer data.
JOB0121,Data Analyst,TCS,Delhi,0-1 years,Full-time,340000,520000,Python;SQL;Excel;Power BI,B.Tech,Banking,03-05-2026,No,Prepare reports and analyze business data.
JOB0122,Software Engineer,Infosys,Pune,1-3 years,Full-time,500000,820000,Java;Python;Git;APIs,B.E.,IT Services,04-05-2026,Yes,Develop and test software applications.
JOB0123,Python Developer,Wipro,Bangalore,3-5 years,Full-time,720000,1180000,Python;Django;Flask;SQL,MCA,FinTech,05-05-2026,Hybrid,Develop scalable backend applications.
JOB0124,Data Scientist,Accenture,Hyderabad,5-8 years,Full-time,1300000,2100000,Python;Machine Learning;SQL;Pandas,M.Tech,Consulting,06-05-2026,Yes,Develop predictive models and data solutions.
JOB0125,Java Developer,Cognizant,Chennai,1-3 years,Full-time,520000,850000,Java;Spring Boot;SQL;REST API,B.Tech,IT Services,07-05-2026,No,Build Java applications and APIs.
JOB0126,Frontend Developer,Amazon,Bangalore,3-5 years,Full-time,780000,1250000,HTML;CSS;JavaScript;React,B.E.,E-Commerce,08-05-2026,Hybrid,Build modern responsive web applications.
JOB0127,Backend Developer,Microsoft,Hyderabad,3-5 years,Full-time,850000,1350000,Node.js;Python;APIs;SQL,B.Tech,IT Services,09-05-2026,Yes,Design and implement backend services.
JOB0128,Full Stack Developer,Persistent Systems,Pune,1-3 years,Full-time,650000,1050000,React;Node.js;MongoDB;JavaScript,B.Tech,IT Services,10-05-2026,Hybrid,Develop full-stack web applications.
JOB0129,Machine Learning Engineer,IBM,Bangalore,3-5 years,Full-time,1050000,1750000,Python;TensorFlow;ML;Docker,M.Tech,Healthcare,11-05-2026,Yes,Develop machine learning pipelines.
JOB0130,Cloud Engineer,Google,Hyderabad,5-8 years,Full-time,1400000,2200000,AWS;Azure;Docker;Kubernetes,B.Tech,IT Services,12-05-2026,Hybrid,Design and manage cloud infrastructure.
JOB0131,DevOps Engineer,Amazon,Bangalore,5-8 years,Full-time,1450000,2250000,Linux;Docker;Kubernetes;Jenkins,B.Tech,E-Commerce,13-05-2026,Yes,Manage cloud deployment and automation.
JOB0132,Business Analyst,Capgemini,Mumbai,1-3 years,Full-time,560000,900000,Excel;SQL;Power BI;Business Analysis,MBA,Consulting,14-05-2026,Hybrid,Analyze business processes and requirements.
JOB0133,Product Manager,Microsoft,Hyderabad,3-5 years,Full-time,1200000,1950000,Product Strategy;Agile;Analytics,MBA,IT Services,15-05-2026,Yes,Manage product roadmap and priorities.
JOB0134,Project Manager,Accenture,Pune,5-8 years,Full-time,1300000,2000000,Agile;Scrum;Jira;Leadership,MBA,Consulting,16-05-2026,No,Lead technology projects and teams.
JOB0135,UI UX Designer,Google,Bangalore,3-5 years,Full-time,800000,1300000,Figma;UI Design;UX Research,B.Des,IT Services,17-05-2026,Hybrid,Create user-centered product designs.
JOB0136,Cyber Security Analyst,IBM,Mumbai,1-3 years,Full-time,600000,950000,Cybersecurity;SIEM;Networking;Linux,B.Tech,Banking,18-05-2026,Yes,Monitor systems for cybersecurity threats.
JOB0137,Database Administrator,Oracle,Chennai,3-5 years,Full-time,800000,1300000,SQL;MySQL;Oracle;Database,B.Tech,Banking,19-05-2026,No,Manage database performance and availability.
JOB0138,QA Engineer,TCS,Pune,1-3 years,Full-time,500000,820000,Selenium;Testing;Java;Automation,B.E.,IT Services,20-05-2026,Hybrid,Test software applications and automate test cases.
JOB0139,AI Engineer,Google,Bangalore,5-8 years,Full-time,1500000,2400000,Python;AI;Deep Learning;NLP,M.Tech,IT Services,21-05-2026,Yes,Develop advanced artificial intelligence solutions.
JOB0140,Marketing Analyst,Reliance Industries,Mumbai,3-5 years,Full-time,700000,1100000,Excel;Google Analytics;SQL;Marketing,MBA,Retail,22-05-2026,No,Analyze customer behavior and marketing trends.
JOB0141,Data Analyst,Infosys,Pune,1-3 years,Full-time,490000,800000,Python;SQL;Excel;Power BI,B.Sc,IT Services,23-05-2026,Hybrid,Create dashboards and analytical reports.
JOB0142,Software Engineer,Wipro,Bangalore,3-5 years,Full-time,720000,1180000,Java;Python;Git;APIs,B.Tech,IT Services,24-05-2026,Yes,Develop software applications and services.
JOB0143,Python Developer,TCS,Hyderabad,1-3 years,Full-time,520000,850000,Python;Django;Flask;SQL,MCA,Healthcare,25-05-2026,Hybrid,Build backend services using Python.
JOB0144,Data Scientist,Deloitte,Mumbai,3-5 years,Full-time,950000,1550000,Python;Machine Learning;SQL;Pandas,M.Tech,Consulting,26-05-2026,Yes,Build analytical models and business insights.
JOB0145,Java Developer,HCLTech,Noida,5-8 years,Full-time,1050000,1750000,Java;Spring Boot;SQL;REST API,B.Tech,IT Services,27-05-2026,No,Develop enterprise Java systems.
